OBJECTID,SRA,HAZ_CODE,HAZ_CLASS,INCORP,VH_REC,ShapeSTArea,ShapeSTLength
596,FRA,3,Very High, ,Very High,440706.678710938,5093.17255955081
597,FRA,3,Very High,Y,Very High,15473.35546875,2678.15089617211
598,FRA,3,Very High,Y,Very High,2264189.00097656,6788.93039159333
599,FRA,3,Very High,Y,Very High,54945.2255859375,3303.8926281351
600,FRA,3,Very High, ,Very High,3673823.79296875,8288.60970348295
601,FRA,3,Very High,Y,Very High,452610.84375,4474.38344107437
602,FRA,3,Very High,Y,Very High,231916235.859375,92415.4093052581
603,FRA,3,Very High,Y,Very High,1629802.61230469,5109.2367419251
604,FRA,3,Very High,Y,Very High,124288039.62207,83954.8068610767
605,FRA,3,Very High,Y,Very High,27583233.7539062,23604.6790013929
606,FRA,3,Very High,Y,Very High,42840.32421875,10680.702981684
607,FRA,3,Very High,Y,Very High,67374.427734375,10628.7033296093
608,FRA,3,Very High, ,Very High,5000711.62597656,10494.5666107217
609,FRA,3,Very High,Y,Very High,102761.51171875,5080.14107370461
610,FRA,3,Very High,Y,Very High,7045055.21289062,13300.2867564055
611,FRA,3,Very High, ,Very High,33204215.4296875,30811.5041416095
612,FRA,3,Very High, ,Very High,1837271.34277344,5426.60283990343
613,FRA,3,Very High,Y,Very High,65683.4189453125,6505.657396116
614,FRA,3,Very High, ,Very High,6629489.90820312,10067.4373840559
615,FRA,3,Very High, ,Very High,3333646.72363281,9246.08597413544
616,FRA,3,Very High, ,Very High,3454142.83691406,11464.6564068052
617,FRA,3,Very High, ,Very High,1782411.66796875,5340.83597808859
618,FRA,3,Very High, ,Very High,12040726.1279297,19025.1868921421
619,FRA,3,Very High, ,Very High,8622362.18652344,13140.3395523435
620,FRA,3,Very High, ,Very High,36275255.2929688,56078.640971625
621,FRA,3,Very High, ,Very High,259017100.075195,178065.323586128
622,FRA,3,Very High, ,Very High,1094232.00976562,4310.99072975688
623,FRA,3,Very High, ,Very High,1456979.37011719,5573.03060037105
624,FRA,3,Very High, ,Very High,3591933.01757812,11006.6386622272
625,FRA,3,Very High, ,Very High,1410979.85351562,5590.2608360425
626,FRA,3,Very High, ,Very High,670371.905273438,3991.35952742685
627,FRA,3,Very High, ,Very High,653991.84765625,3248.04978300434
628,FRA,3,Very High, ,Very High,211942.438476562,1902.75434262699
629,FRA,3,Very High, ,Very High,442860.715820312,2662.36084997517
630,FRA,3,Very High, ,Very High,53110807.9482422,61219.921523604
631,FRA,3,Very High, ,Very High,6837605.8671875,10384.7892509792
632,FRA,3,Very High, ,Very High,7171970.21582031,11868.8229780993
633,FRA,3,Very High, ,Very High,1741969.30371094,5257.04816542115
634,FRA,3,Very High, ,Very High,705488.955078125,4299.64150093052
635,FRA,3,Very High, ,Very High,587164.1484375,5298.29237329432
636,FRA,3,Very High, ,Very High,506969.887695312,4174.82952307362
637,FRA,3,Very High, ,Very High,1508876.890625,5861.41457835514
638,FRA,3,Very High, ,Very High,322041.017578125,2406.78523985914
639,FRA,3,Very High, ,Very High,3529366.45117188,7964.9705517307
640,FRA,3,Very High, ,Very High,1012046.21386719,4177.4960811988
641,FRA,3,Very High, ,Very High,4501844.4765625,10570.862942364
642,FRA,3,Very High, ,Very High,3547347.40722656,8759.44643290121
643,FRA,3,Very High, ,Very High,108718.458984375,5223.7193547392
644,FRA,3,Very High, ,Very High,2056475.04394531,5766.94695141944
645,FRA,3,Very High, ,Very High,431169.09765625,2626.60715858649
646,FRA,3,Very High, ,Very High,651048.412109375,3947.47591089458
647,FRA,3,Very High, ,Very High,307662.7734375,3572.33721200782
648,FRA,3,Very High, ,Very High,184829.337890625,2225.13752655431
649,FRA,3,Very High, ,Very High,5506505.06152344,9322.08310244579
650,FRA,3,Very High, ,Very High,893056.794921875,6059.02275386987
651,FRA,3,Very High, ,Very High,15125811.2392578,17554.7483019058
652,FRA,3,Very High,Y,Very High,32089784.8486328,42555.1429651774
653,FRA,3,Very High,Y,Very High,8767926.39550781,15307.6270580344
654,FRA,3,Very High,Y,Very High,184880.05859375,2827.93895136225
655,FRA,3,Very High, ,Very High,7372096.11035156,19911.933242618
656,FRA,2,High, , ,77655347.1416016,133636.547574573
657,FRA,3,Very High, ,Very High,1425559148.64941,371973.537602068
658,FRA,2,High, , ,1440874.66992188,9255.27463057076
659,FRA,1,Moderate, , ,2869446.07714844,13181.2225398772
660,FRA,3,Very High, ,Very High,1856966.18359375,13076.3364634226
661,FRA,2,High, , ,2100991.58886719,12976.6219563292
662,FRA,2,High, , ,43433574.2333984,64157.6751516655
663,FRA,2,High, , ,2757172.48535156,16591.3948671345
664,FRA,3,Very High, ,Very High,2852542.50292969,7176.04500089249
665,FRA,3,Very High, ,Very High,6476756.23535156,13818.790455821
666,FRA,3,Very High, ,Very High,2929613.56347656,7164.10076509908
667,FRA,3,Very High, ,Very High,444457.338867188,3669.92612731409
668,FRA,3,Very High, ,Very High,903569.005859375,5389.46775152844
669,FRA,3,Very High, ,Very High,28639824.5791016,41173.7096696936
670,SRA,3,Very High, , ,3681512338.03613,952170.455842322
671,SRA,3,Very High, , ,10527462.5908203,13243.3613575739
672,SRA,3,Very High, , ,14141419.0986328,18596.1257631919
673,LRA,3,Very High, , ,63659254.2607422,85891.5182089427
674,LRA,3,Very High, , ,282471.89453125,3427.80423325822
675,LRA,3,Very High, , ,4392037.671875,10845.8522667741
676,SRA,3,Very High, , ,83460712.5761719,77469.1156370288
677,LRA,3,Very High, , ,27776686.1699219,34205.0287248672
678,LRA,3,Very High, , ,1555536.64257812,7926.22843796694
679,LRA,3,Very High, , ,5.9091796875,249.195818914943
680,LRA,3,Very High, , ,201.662109375,2123.86681740655
681,LRA,3,Very High, , ,12.9013671875,419.642825331523
682,LRA,3,Very High, , ,34.8095703125,666.566850467033
683,LRA,3,Very High, , ,767.615234375,6174.58700737416
684,LRA,3,Very High, , ,149.2001953125,270.4722200597
685,LRA,3,Very High, , ,54.6708984375,1211.79622186176
686,LRA,3,Very High, , ,17.5810546875,555.276554973004
687,LRA,3,Very High, , ,1441.9345703125,4539.88812264126
688,LRA,3,Very High, , ,157.7548828125,5309.23557427136
689,LRA,3,Very High, , ,26.5556640625,1092.0499227676
690,LRA,3,Very High, , ,176.5693359375,3090.96570167952
691,LRA,3,Very High, , ,70.9453125,1471.49060674637
692,LRA,3,Very High, , ,27.2197265625,858.13054273477
693,LRA,3,Very High, , ,119.3759765625,2737.52888894036
694,LRA,3,Very High, , ,5527.6083984375,4894.74866507254
695,LRA,3,Very High, , ,165.7958984375,620.291072206145
696,LRA,3,Very High, , ,6.0283203125,241.651589539038
697,LRA,3,Very High, , ,18245.5048828125,641.701582061056
698,LRA,3,Very High, , ,468.6904296875,88.8641543533807
699,LRA,3,Very High, , ,0.4169921875,3.13068755738027
700,LRA,3,Very High, , ,529.01171875,1279.6459124783
701,LRA,3,Very High, , ,925.208984375,1761.00375277636
702,LRA,3,Very High, , ,9.595703125,381.161164708771
703,LRA,3,Very High, , ,50207.2744140625,1437.02193877844
704,LRA,3,Very High, , ,31931.771484375,761.839204443973
705,LRA,3,Very High, , ,19.4248046875,656.09427874462
706,LRA,3,Very High, , ,17.4404296875,649.085245796906
707,LRA,3,Very High, , ,60.2763671875,1068.33823625983
708,LRA,3,Very High, , ,53.982421875,659.744970229759
709,LRA,3,Very High, , ,64191.2255859375,1344.43748051982
710,LRA,3,Very High, , ,17012.0166015625,1357.34780324025
711,LRA,3,Very High, , ,3.0595703125,28.8985344309053
712,LRA,3,Very High, , ,14759.0400390625,492.677724444511
713,LRA,3,Very High, , ,26.314453125,295.250763092152
714,LRA,3,Very High, , ,168.8837890625,62.9059915563439
715,LRA,3,Very High, , ,93522.0205078125,1731.89445305777
716,LRA,3,Very High, , ,6027.029296875,321.726430063917
717,LRA,3,Very High, , ,39.279296875,812.266467169172
718,LRA,3,Very High, , ,18.166015625,128.382134642077
719,LRA,3,Very High, , ,110444.245117188,1710.31017533118
720,LRA,3,Very High, , ,1033.248046875,189.438191060679
721,LRA,3,Very High, , ,344.908203125,678.386488178044
722,LRA,3,Very High, , ,45057.783203125,1618.10019387031
723,LRA,3,Very High, , ,45651.7216796875,1007.99071383609
724,LRA,3,Very High, , ,5799.533203125,549.107742344822
725,LRA,3,Very High, , ,3041.4794921875,285.274751767711
726,LRA,3,Very High, , ,215279.749023438,14877.7845730306
727,LRA,3,Very High, , ,315.1396484375,87.4399592603163
728,LRA,3,Very High, , ,20531.400390625,600.992100103237
729,LRA,3,Very High, , ,41854.3125,868.713619261546
730,LRA,3,Very High, , ,14281.533203125,503.949571242825
731,LRA,3,Very High, , ,9180.9599609375,672.170272387085
732,LRA,3,Very High, , ,2224.619140625,1209.38884319636
733,LRA,3,Very High, , ,2596.3134765625,257.420343115531
734,LRA,3,Very High, , ,464.44921875,106.250335262301
735,LRA,3,Very High, , ,1338.12890625,2086.52362110673
736,LRA,3,Very High, , ,78.3681640625,2024.31702428075
737,LRA,3,Very High, , ,3010.8486328125,2888.20044113938
738,LRA,3,Very High, , ,0.595703125,7.95898353077773
739,LRA,3,Very High, , ,840.9130859375,3929.7098088027
740,LRA,3,Very High, , ,214508.75,2726.23803980323
741,LRA,3,Very High, , ,260.3330078125,4151.89499810612
742,LRA,3,Very High, , ,845.91015625,832.388313587484
743,LRA,3,Very High, , ,34921.97265625,762.064776535925
744,LRA,3,Very High, , ,1.0263671875,75.5591037495404
745,LRA,3,Very High, , ,6.3212890625,133.646534104376
746,LRA,3,Very High, , ,4244.0546875,572.649524470375
747,LRA,3,Very High, , ,394.5302734375,95.9185833041301
748,LRA,3,Very High, , ,7139.1708984375,369.730275211573
749,LRA,3,Very High, , ,206.0185546875,60.1565313001235
750,LRA,3,Very High, , ,644.2197265625,574.984350430091
751,LRA,3,Very High, , ,9.22265625,47.6763953790336
752,LRA,3,Very High, , ,8.7275390625,245.293224283209
753,LRA,3,Very High, , ,171081.712890625,3819.01245037178
754,LRA,3,Very High, , ,3218.6171875,229.980053495893
755,LRA,3,Very High, , ,8703.2666015625,594.33926464811
756,LRA,3,Very High, , ,451.2919921875,2183.54522896947
757,LRA,3,Very High, , ,847.4833984375,121.996862066111
758,LRA,3,Very High, , ,17224.4990234375,785.871788312988
759,LRA,3,Very High, , ,1682.9267578125,192.324457928708
