X,Y,OBJECTID,FID_,Parcel_Num,Property_C,Property_S,Inventory,Zoned_As,Address1,County,City,Longitude,Latitude,Council_Di,Square_Foo,Business_I
-118.458690800055,33.9911781997661,111,0,2631005901,Not Classified,Owned,General Services,RA-1,CAYUGA AVE/ALLEGHENY ST,LOS ANGELES,LOS ANGELES,0,0,6,349.498, 
-118.458690800055,33.9911781997661,112,0,2661002900,Not Classified,Owned,General Services,RS-1,CHATSWORTH ST/AQUEDUCT AVE,LOS ANGELES,LOS ANGELES,0,0,12,3109.191, 
-118.458690800055,33.9911781997661,113,0,2784006901,Not Classified,Owned,General Services,(T)RS-1,MALDEN ST/BECKFORD AVE,LOS ANGELES,NORTHRIDGE,0,0,12,931.34, 
-118.458690800055,33.9911781997661,114,0,7562021901,Not Classified,Owned,General Services,OS-1XL,CUMBRE DR/PELICAN AVE,LOS ANGELES,LOS ANGELES,0,0,15,1290.343, 
-118.458690800055,33.9911781997661,115,0,2512014902,Not Classified,Owned,General Services,(T)RS-1,LAZARD ST/WHEELER AVE,LOS ANGELES,LOS ANGELES,0,0,7,764.757, 
-118.458690800055,33.9911781997661,116,0,4384026900,Not Classified,Owned,General Services,RE40-1-H,BEESON DR/SAN YSIDRO DR,LOS ANGELES,LOS ANGELES,0,0,5,730.358, 
-118.458690800055,33.9911781997661,117,0,2660010900,Not Classified,Owned,General Services,RS-1,MAYALL AVE/SEPULVEDA BLVD,LOS ANGELES,LOS ANGELES,0,0,7,629.461, 
-118.458690800055,33.9911781997661,118,0,2106011902,Not Classified,Owned,General Services,(T)R1-1,HATILLO AVE/STAGG ST,LOS ANGELES,LOS ANGELES,0,0,3,81.002, 
-118.458690800055,33.9911781997661,119,0,2106011903,Not Classified,Owned,General Services,(T)R1-1,HATILLO AVE/STAGG ST,LOS ANGELES,LOS ANGELES,0,0,3,80.999, 
-118.458690800055,33.9911781997661,120,0,2206036900,Not Classified,Owned,General Services,R1-1,CANTLAY ST/GLORIA AVE,LOS ANGELES,LOS ANGELES,0,0,6,89.868, 
-118.458690800055,33.9911781997661,121,0,2206036901,Not Classified,Owned,General Services,R1-1,CANTLAY ST/GLORIA AVE,LOS ANGELES,LOS ANGELES,0,0,6,89.997, 
-118.458690800055,33.9911781997661,122,0,2785015903,Not Classified,Owned,General Services,RA-1,ECCLES ST/YOLANDA AVE,LOS ANGELES,LOS ANGELES,0,0,12,90.029, 
-118.458690800055,33.9911781997661,123,0,2263034900,Not Classified,Owned,General Services,R3-1,VISTA DEL MONTE AVE/MAGNOLIA BLVD,LOS ANGELES,SHERMAN OAKS,0,0,2,29.999, 
-118.458690800055,33.9911781997661,124,0,2167024900,Not Classified,Owned,General Services,R1-1,PARALTA AVE/COSTANSO ST,LOS ANGELES,LOS ANGELES,0,0,3,426.011, 
-118.583700499622,34.2434506999038,125,0,2748040900,Public Facility,Owned,General Services, ,20655 PLUMMER ST,LOS ANGELES,LOS ANGELES,-118.5837005,34.2434507,12,174850.7434, 
-118.549949599638,34.2893638998968,126,0,2872004900,Vacant Land,Surplus-Undeclared,General Services,RE11-1-H,11954 CALLE VISTA CT,LOS ANGELES,LOS ANGELES,-118.5499496,34.2893639,12,18092.0196,None
-118.443290699967,33.9603958001741,127,0,4115007902,Residential Improved,Surplus-Undeclared,General Services,R1-1,8127 DELGANY AVE,LOS ANGELES,LOS ANGELES,-118.4432907,33.9603958,11,5218.330649,None
-118.397918699395,33.9468536001308,128,0,4117034901,Parking Facility,Owned,General Services, ,9851 S SEPULVEDA BLVD,LOS ANGELES,LOS ANGELES,-118.3979187,33.9468536,11,861275.9186,None
-118.396659699744,33.9482877001968,129,0,4117035900,Public Safety Facility,Owned,General Services, ,9601 S SEPULVEDA BLVD,LOS ANGELES,LOS ANGELES,-118.3966597,33.9482877,11,113719.0896,None
-118.383323600294,33.9525979999251,130,0,4125022912,Vacant Land,Owned,Airports, ,5812 ARBOR VITAE ST,LOS ANGELES,LOS ANGELES,-118.3833236,33.952598,11,7284.686352,None
-118.384835000488,33.9526147002803,131,0,4125022913,Vacant Land,Owned,Airports, ,5850 ARBOR VITAE ST,LOS ANGELES,LOS ANGELES,-118.384835,33.9526147,11,7158.612049,None
-118.371086100011,33.9522705003191,132,0,4128004917,Vacant Land,Owned,Airports, ,5230 ARBOR VITAE ST,LOS ANGELES,LOS ANGELES,-118.3710861,33.9522705,11,6646.399101,None
-118.37044529938,33.9511832998328,133,0,4128004919,Vacant Land,Owned,Airports, ,5201 W 94TH ST,LOS ANGELES,LOS ANGELES,-118.3704453,33.9511833,11,5370.611624,None
-118.371192899817,33.9504509002362,134,0,4128005909,Residential Vacant Land,Owned,Airports, ,9406 GLASGOW PL,LOS ANGELES,LOS ANGELES,-118.3711929,33.9504509,11,6626.404,None
-118.373252900257,33.9498328998969,135,0,4128007939,Vacant Land,Owned,Airports, ,5316 W 95TH ST,LOS ANGELES,LOS ANGELES,-118.3732529,33.9498329,11,6042.0074,None
-118.374916100463,33.9513664000512,136,0,4128009924,Vacant Land,Owned,Airports, ,5424 W 93RD ST,LOS ANGELES,LOS ANGELES,-118.3749161,33.9513664,11,6710.275,None
-118.375099199576,33.9513664000512,137,0,4128009925,Vacant Land,Owned,Airports, ,5430 W 93RD ST,LOS ANGELES,LOS ANGELES,-118.3750992,33.9513664,11,6709.05495,None
-118.377990699507,33.948127700259,138,0,4128011908,Residential Vacant Land,Owned,Airports, ,5519 W 98TH ST,LOS ANGELES,LOS ANGELES,-118.3779907,33.9481277,11,8717.951859,None
-118.371307399982,33.946960400287,139,0,4128017900,Residential Vacant Land,Owned,Airports, ,5227 W 98TH ST,LOS ANGELES,LOS ANGELES,-118.3713074,33.9469604,11,6664.308856,None
-118.370925899853,33.9470901003292,140,0,4128017909,Residential Vacant Land,Owned,Airports, ,5217 W 98TH ST,LOS ANGELES,LOS ANGELES,-118.3709259,33.9470901,11,5271.975052,None
